RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1533.781806,1540.084527,1549.101909,1556.958156,1560.10712,1563.736749,1572.009521,1569.339346,1563.169268,1547.651441,1539.816006,1523.199508,1515.616828,1500.862839,1509.017512,1506.347395,1504.104618,1499.735973,1490.370428,1489.340258,1480.307943,1463.228646,1441.895255,1419.163331,1439.62898,1464.600701,1489.93525,1490.321548,1498.929321,1507.10974,1507.989278,1497.310454,1506.328318,1518.486423,1534.386115,1532.26498,1539.373053,1545.742652,1549.640166,1545.735175,1542.400682,1542.689341,1538.93002,1529.718373,1518.724168,1518.543173,1522.30238,1526.54983,1532.237713,1537.099791,1547.791027,1551.627416,1553.425722,1552.527372,1551.225422,1559.372748,1552.398474,1555.962733,1553.774596,1562.208405,1566.066198,1571.74058,1576.831941,1583.329551,1575.809315,1572.317411,1565.108897,1575.895697,1587.944375,1590.224283,1598.152456,1604.097395,1613.316388,1616.230198,1617.486866,1637.788874,1666.443955,1711.776059,1746.060014,1773.78236,1791.37019,1803.413604,1826.644767,1832.327505,1843.651583,1838.509739,1847.706376,1862.030985,1889.36659,1911.707362,1935.142094,1934.778134,1929.582007,1916.569161,1899.883618,1902.800275,1934.090434,1949.723247,1956.493443,1925.575173,1932.090054,1940.24637,1954.318896,1961.717063,1963.953575,1960.639949
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1278.212564,1275.649783,1282.818276,1293.844236,1304.520011,1314.584489,1317.702864,1321.465332,1322.640571,1323.462129,1320.911085,1317.237961,1309.567326,1308.877086,1318.079613,1330.806212,1337.273249,1329.45089,1322.254565,1315.928204,1313.276757,1309.079807,1299.571012,1290.540376,1290.36584,1301.456889,1312.494503,1319.05997,1320.604771,1326.629785,1334.795435,1336.361113,1341.120184,1340.487159,1348.314481,1350.444734,1362.066001,1366.758426,1368.953095,1369.505078,1375.336596,1382.999165,1384.614025,1385.467544,1381.822447,1379.587855,1380.903785,1377.180808,1373.977401,1372.083723,1378.030016,1382.685541,1390.943619,1394.79654,1403.345114,1400.527077,1403.512993,1399.344164,1396.387469,1397.208613,1404.558316,1414.783947,1426.022472,1423.454911,1414.880824,1415.80807,1428.952991,1447.508058,1455.81083,1455.09294,1460.536873,1471.798766,1482.453022,1491.910805,1496.454986,1517.14256,1554.618697,1597.271917,1636.736647,1644.883685,1649.765941,1661.856761,1667.802956,1686.272499,1679.860028,1706.262505,1726.808533,1750.693539,1734.543975,1731.926306,1769.309191,1834.975173,1837.977908,1824.537776,1783.066039,1779.062713,1765.351908,1774.736471,1785.942634,1789.444729,1793.972561,1803.828789,1811.831529,1825.048955,1828.685389,1816.016818
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,,,,,,,,,1296.976909,1283.657332,1288.476382,1299.48465,1304.385555,1301.278347,1295.25976,1292.655944,1289.766936,1291.349278,1304.752437,1309.324668,1317.841957,1320.386333,1327.687683,1329.688738,1346.114632,1355.748835,1367.38665,1356.822113,1355.176434,1350.650876,1349.658334,1358.214365,1362.829295,1372.178764,1367.090184,1371.996803,1375.654585,1374.227242,1383.059034,1382.443538,1386.894903,1373.344639,1383.776848,1396.946481,1417.097781,1416.156723,1420.213216,1418.159591,1414.413988,1407.77895,1409.033786,1415.657075,1420.258188,1424.215391,1432.311849,1430.438959,1434.949299,1439.690056,1451.426718,1458.12195,1467.458967,1479.010024,1473.787945,1472.955543,1471.287095,1480.025877,1486.538538,1498.242293,1536.922662,1569.739295,1621.977313,1667.563567,1703.161523,1698.973261,1683.286152,1685.623306,1704.459751,1721.955495,1732.823488,1745.06679,1762.586082,1780.327321,1795.539858,1776.338379,1770.061961,1747.498994,1757.405305,1751.113329,1758.050196,1757.912442,1775.708732,1787.466792,1804.430677,1808.999546,1806.113225,1809.919135,1807.499078,1836.450233
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.515257,1226.043571,1235.205846,1238.510083,1266.333195,1286.567779,1315.046795,1335.166572,1324.570878,1317.836736,1319.576276,1337.463248,1362.592224,1375.2252,1408.851729,1426.677783,1447.98161,1430.569285,1437.391723,1440.846063,1479.847709,1493.541496,1486.377152,1474.990443,1481.478607,1485.279298,1510.070417,1507.930792,1514.774257,1515.904139
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,2087.532886,,2151.375764,2168.002693,2150.594552,2189.035747,2266.095929,2299.532872,,2216.688865,2179.604071,2182.660837,2247.389291,2258.490888,2286.121266,2271.73716,2281.496824,2305.429826,2324.922,2364.13282,2386.612395,2348.645445,2331.68371,2313.763979,2337.628998,2337.049194,2324.023456,2333.91677,2327.801077,2351.321774,2350.675048,2392.955121,2364.171406,2368.939751,2342.835093,2333.861548,2301.514749,2302.888844,2318.696676,2353.606116,2362.786249,2377.252287,2379.932156,2394.207227,2412.256716,2409.682172,2405.228073,2386.541551,2407.717258,2400.941966,2418.190796,2400.35897,2451.159285,2477.205355,2495.755149,2483.542091,2476.556684,2496.35059,2493.311692,2500.480603,2527.784065,2519.139882,2496.986916,2481.431277,2479.956303,2494.151776,2440.826761,2409.553605,2380.80876,2359.244006,2326.704084,2311.620199,2295.225385,2309.113384,2294.933083,2335.838286,2370.438909,2423.828306,2460.837965,2505.145902,2552.936664,2580.476161,2609.02978,2612.84919,2617.923591,2619.967083,2665.810684,2740.963538,2841.808793,2909.107149,2976.179262,2995.043751,3003.176576,2966.406075,2921.748838,2888.646778,2868.874883,2879.565487,2906.094337,2956.227481,2998.05206,3027.935978,3056.291686,3073.506703,3058.631665
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1366.87687,1378.520654,1366.763451,1360.474982,1372.541557,1388.033746,1404.009256,1412.357063,1409.354108,1407.18689,1405.874298,1416.286981,1423.833067,1435.670526,,1439.857864,1438.193775,1458.039357,1475.305469,1478.047274,1470.714817,1464.600367,1457.391283,1443.69422,1432.670588,1443.090689,1467.103727,1486.030173,1483.247392,1484.248294,1479.025428,1492.983726,1498.742332,1498.036274,1491.793257,1482.178294,1484.138809,1495.410314,1506.270568,1520.442149,1522.60878,1529.159329,1527.268543,1530.623333,1532.957075,1534.390682,1540.921644,1542.360672,1538.261431,1539.612148,1542.266616,1557.710673,1557.906534,1562.658592,1567.610583,1570.772796,1570.052879,1565.343674,1568.906322,1574.575558,1583.005154,1589.940783,1608.032595,1610.121532,1604.876389,1587.076141,1600.755079,1605.737987,1616.626178,1615.576103,1623.849706,1621.637882,1633.323992,1626.842842,1637.090098,1652.305765,1712.619563,1773.993586,,,1917.114177,1960.246676,1958.577718,1970.22353,1961.820288,1976.34768,1997.029014,2011.430317,2026.127311,2036.178642,2051.695704,2039.683532,2035.324205,2020.474996,2043.408862,2033.814825,2059.405886,2057.201081,2063.05363,2053.31827,2064.975796,2066.597035,2065.687154,2050.617865,2045.893819,2033.339652
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358.396971,2399.283247,2436.020852,2480.757831,2500.704745,2527.481643,2508.225721,2516.244328,2531.771333,2537.107802,2616.994656,2641.430952,2612.162801,2659.418192,2698.450684,2835.587504,2792.910636,2765.266167,2756.35433,2770.4
91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1333.76938,1329.108804,1335.944268,1344.15415,1345.003003,1350.358446,1365.368604,1386.200137,1391.114804,1380.67127,1366.670132,1358.861309,1362.805942,1368.889499,1391.125848,1389.045049,1387.343306,1368.147928,1365.272198,1366.136685,1370.058609,1371.362864,1356.924795,1345.800166,1347.331449,1369.050037,1377.786915,1376.443063,1377.448417,1385.759558,1395.366058,1402.122321,1410.430625,1427.120118,1430.057709,1436.225293,1432.67191,1450.026468,1462.695015,1462.689761,1452.249581,1442.661268,1445.064766,1446.538279,1451.193365,1451.346012,1434.484263,1434.3018,1436.103617,1450.880487,1443.385,1449.54571,1460.431424,1479.147301,1484.382984,1478.520458,1476.558113,1481.865179,1480.920901,1480.166424,1476.01636,1486.351251,1503.330239,1511.426296,1511.807426,1500.226245,1502.119866,1514.967014,1536.602252,1547.751915,1570.240584,1577.521123,1585.993955,1565.159373,1551.243796,1563.91069,1601.596576,1659.830832,1703.186052,1741.994258,1768.081178,1778.225746,1791.745777,1806.329272,1821.235772,1822.03612,1823.752589,1841.061936,1858.194961,1867.002475,1884.924087,1899.108136,1887.025398,1873.561221,1874.054537,1875.192851,1882.858323,1883.021611,1875.60957,1866.046582,1858.182021,1888.281148,1919.071612,1945.112782,1977.466263,1962.549167
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.884041,976.8545188,972.0174528,972.8734307,962.7998973,979.8492598,1005.466318,1026.29364,1039.050707,1051.488948,1044.0888,1048.459046,1053.781345,1093.693709,1109.890231,1125.097129,1089.966092,1097.597791,1088.311242,1127.603292,1142.925013,1157.53755,1155.363504,1144.526081,1161.856962,1182.213418,1205.152859,1217.644486,1190.722129,1166.793696,1164.242118,1172.026545,1181.888889
96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.739233,1800.016059,,1879.643734,1881.971633,1920.153932,1909.625441,1921.773766,1926.2112,1937.751771,1923.328146,1941.18306,1895.516139,1885.917295,1918.246393,1977.413774,2014.709395,1985.529489,2008.964109,2021.983407,2030.842674,2026.567413,2085.291656,2092.392266,2154.794856,2091.092282,2109.02112,2088.522421,2139.448177,2213.431221,2264.351089,2291.351157,2240.757458,2272.599149,2275.40936,2317.272662,2307.436112,2372.604297,2403.59499,2399.184299,2426.507812,2457.321289,2498.128394,2473.631272,2488.665579,2504.677795,2522.547094,2445.353144,2469.101602,2478.467801,2559.45745,2574.241825,2750.954825,2817.216395,2834.333695,2689.51133,2659.511111
