DATE,MEHOINUSALA672N
1984-01-01,43850
1985-01-01,44910
1986-01-01,46110
1987-01-01,46010
1988-01-01,44850
1989-01-01,45840
1990-01-01,47970
1991-01-01,48250
1992-01-01,49880
1993-01-01,47310
1994-01-01,50200
1995-01-01,46860
1996-01-01,53230
1997-01-01,54930
1998-01-01,61530
1999-01-01,60260
2000-01-01,56920
2001-01-01,55250
2002-01-01,58360
2003-01-01,56640
2004-01-01,54330
2005-01-01,53550
2006-01-01,53170
2007-01-01,57660
2008-01-01,58600
2009-01-01,52890
2010-01-01,53420
2011-01-01,53900
2012-01-01,53970
2013-01-01,58050
2014-01-01,51140
2015-01-01,53880
2016-01-01,56660
2017-01-01,59980
2018-01-01,57720
2019-01-01,64010
2020-01-01,61650
2021-01-01,61390
2022-01-01,59910
