DATE,MEHOINUSARA672N
1984-01-01,39710
1985-01-01,42750
1986-01-01,45150
1987-01-01,43890
1988-01-01,45350
1989-01-01,46160
1990-01-01,46800
1991-01-01,46450
1992-01-01,46160
1993-01-01,43450
1994-01-01,47190
1995-01-01,46550
1996-01-01,47650
1997-01-01,44990
1998-01-01,46940
1999-01-01,49340
2000-01-01,47720
2001-01-01,52390
2002-01-01,50270
2003-01-01,48660
2004-01-01,51890
2005-01-01,52840
2006-01-01,51910
2007-01-01,55720
2008-01-01,52160
2009-01-01,48330
2010-01-01,50350
2011-01-01,52270
2012-01-01,48450
2013-01-01,48310
2014-01-01,54340
2015-01-01,51810
2016-01-01,55080
2017-01-01,58660
2018-01-01,57540
2019-01-01,62120
2020-01-01,57240
2021-01-01,54760
2022-01-01,53980
