DATE,MEHOINUSAZA672N
1984-01-01,54270
1985-01-01,58500
1986-01-01,61460
1987-01-01,62360
1988-01-01,59430
1989-01-01,61490
1990-01-01,60020
1991-01-01,60920
1992-01-01,56740
1993-01-01,57540
1994-01-01,57760
1995-01-01,55650
1996-01-01,55580
1997-01-01,56310
1998-01-01,62930
1999-01-01,61500
2000-01-01,63930
2001-01-01,67110
2002-01-01,61670
2003-01-01,62590
2004-01-01,65040
2005-01-01,65220
2006-01-01,65360
2007-01-01,64490
2008-01-01,61810
2009-01-01,60510
2010-01-01,61200
2011-01-01,61540
2012-01-01,58410
2013-01-01,64540
2014-01-01,59580
2015-01-01,63250
2016-01-01,68510
2017-01-01,70390
2018-01-01,71990
2019-01-01,80500
2020-01-01,75620
2021-01-01,76370
2022-01-01,73450
