DATE,MEHOINUSCAA672N
1984-01-01,64060
1985-01-01,66100
1986-01-01,69920
1987-01-01,70280
1988-01-01,68090
1989-01-01,71090
1990-01-01,68370
1991-01-01,66720
1992-01-01,67460
1993-01-01,64260
1994-01-01,65210
1995-01-01,66730
1996-01-01,68180
1997-01-01,68270
1998-01-01,69450
1999-01-01,72520
2000-01-01,75230
2001-01-01,74270
2002-01-01,73630
2003-01-01,74960
2004-01-01,73010
2005-01-01,74610
2006-01-01,77490
2007-01-01,76120
2008-01-01,75120
2009-01-01,74260
2010-01-01,70840
2011-01-01,67540
2012-01-01,70800
2013-01-01,74580
2014-01-01,73170
2015-01-01,77030
2016-01-01,79960
2017-01-01,82580
2018-01-01,81480
2019-01-01,88960
2020-01-01,87530
2021-01-01,87960
2022-01-01,85300
