DATE,MEHOINUSCOA672N
1984-01-01,65360
1985-01-01,69040
1986-01-01,65540
1987-01-01,61730
1988-01-01,58940
1989-01-01,57730
1990-01-01,63120
1991-01-01,62430
1992-01-01,62790
1993-01-01,65050
1994-01-01,69830
1995-01-01,73400
1996-01-01,71940
1997-01-01,74350
1998-01-01,79060
1999-01-01,80080
2000-01-01,77520
2001-01-01,77620
2002-01-01,74960
2003-01-01,75930
2004-01-01,75480
2005-01-01,72720
2006-01-01,78020
2007-01-01,83510
2008-01-01,80290
2009-01-01,73990
2010-01-01,78600
2011-01-01,74200
2012-01-01,71090
2013-01-01,83310
2014-01-01,73710
2015-01-01,80610
2016-01-01,84670
2017-01-01,88420
2018-01-01,84420
2019-01-01,82580
2020-01-01,94440
2021-01-01,91610
2022-01-01,89930
