DATE,MEHOINUSCTA672N
1984-01-01,75870
1985-01-01,76170
1986-01-01,78870
1987-01-01,76620
1988-01-01,81420
1989-01-01,91150
1990-01-01,79830
1991-01-01,83540
1992-01-01,78940
1993-01-01,74530
1994-01-01,75850
1995-01-01,72560
1996-01-01,73990
1997-01-01,75650
1998-01-01,78910
1999-01-01,84100
2000-01-01,80620
2001-01-01,83830
2002-01-01,82860
2003-01-01,83570
2004-01-01,81730
2005-01-01,81930
2006-01-01,87420
2007-01-01,87610
2008-01-01,85220
2009-01-01,85790
2010-01-01,86120
2011-01-01,82790
2012-01-01,79770
2013-01-01,85010
2014-01-01,84870
2015-01-01,88230
2016-01-01,91100
2017-01-01,87620
2018-01-01,84160
2019-01-01,99420
2020-01-01,89540
2021-01-01,87300
2022-01-01,90730
