DATE,MEHOINUSGAA672N
1984-01-01,50620
1985-01-01,51570
1986-01-01,58740
1987-01-01,62280
1988-01-01,59730
1989-01-01,59320
1990-01-01,56610
1991-01-01,53930
1992-01-01,55660
1993-01-01,59720
1994-01-01,58080
1995-01-01,61480
1996-01-01,57090
1997-01-01,63050
1998-01-01,65600
1999-01-01,65540
2000-01-01,67330
2001-01-01,66910
2002-01-01,66650
2003-01-01,64520
2004-01-01,60790
2005-01-01,66200
2006-01-01,69120
2007-01-01,66440
2008-01-01,60910
2009-01-01,57330
2010-01-01,57570
2011-01-01,58190
2012-01-01,59750
2013-01-01,57650
2014-01-01,59940
2015-01-01,61450
2016-01-01,64230
2017-01-01,68370
2018-01-01,64520
2019-01-01,64500
2020-01-01,66810
2021-01-01,66310
2022-01-01,67730
