DATE,MEHOINUSIAA672N
1984-01-01,50320
1985-01-01,51270
1986-01-01,54130
1987-01-01,51740
1988-01-01,54650
1989-01-01,56570
1990-01-01,56050
1991-01-01,56590
1992-01-01,55550
1993-01-01,54060
1994-01-01,61060
1995-01-01,64040
1996-01-01,58340
1997-01-01,58100
1998-01-01,62810
1999-01-01,68320
2000-01-01,65870
2001-01-01,64390
2002-01-01,63710
2003-01-01,62920
2004-01-01,64360
2005-01-01,67030
2006-01-01,67420
2007-01-01,66800
2008-01-01,66060
2009-01-01,67100
2010-01-01,63960
2011-01-01,63560
2012-01-01,66360
2013-01-01,73800
2014-01-01,69930
2015-01-01,73660
2016-01-01,70900
2017-01-01,74840
2018-01-01,79430
2019-01-01,75240
2020-01-01,77570
2021-01-01,78100
2022-01-01,76320
