DATE,MEHOINUSILA672N
1984-01-01,60170
1985-01-01,60930
1986-01-01,63900
1987-01-01,63150
1988-01-01,66380
1989-01-01,67410
1990-01-01,66840
1991-01-01,63190
1992-01-01,60980
1993-01-01,61970
1994-01-01,64750
1995-01-01,68650
1996-01-01,69480
1997-01-01,71000
1998-01-01,73260
1999-01-01,77010
2000-01-01,74020
2001-01-01,72550
2002-01-01,66290
2003-01-01,68650
2004-01-01,68340
2005-01-01,69770
2006-01-01,68180
2007-01-01,71710
2008-01-01,70160
2009-01-01,69940
2010-01-01,66200
2011-01-01,64090
2012-01-01,64240
2013-01-01,66170
2014-01-01,66430
2015-01-01,73130
2016-01-01,73650
2017-01-01,77790
2018-01-01,81080
2019-01-01,84740
2020-01-01,83790
2021-01-01,85460
2022-01-01,78020
