DATE,MEHOINUSKSA672N
1984-01-01,62390
1985-01-01,55830
1986-01-01,57670
1987-01-01,59650
1988-01-01,57480
1989-01-01,57850
1990-01-01,61450
1991-01-01,58060
1992-01-01,58650
1993-01-01,56150
1994-01-01,52280
1995-01-01,54710
1996-01-01,57240
1997-01-01,62720
1998-01-01,62290
1999-01-01,62080
2000-01-01,65980
2001-01-01,65080
2002-01-01,66150
2003-01-01,67250
2004-01-01,60910
2005-01-01,60580
2006-01-01,63810
2007-01-01,66240
2008-01-01,63080
2009-01-01,59150
2010-01-01,60100
2011-01-01,58410
2012-01-01,62090
2013-01-01,58670
2014-01-01,64650
2015-01-01,66410
2016-01-01,68160
2017-01-01,67090
2018-01-01,73900
2019-01-01,83320
2020-01-01,82380
2021-01-01,81930
2022-01-01,73040
