DATE,MEHOINUSKYA672N
1984-01-01,44790
1985-01-01,42530
1986-01-01,47900
1987-01-01,48200
1988-01-01,44760
1989-01-01,50150
1990-01-01,50900
1991-01-01,47100
1992-01-01,45390
1993-01-01,45980
1994-01-01,49090
1995-01-01,53750
1996-01-01,56940
1997-01-01,57530
1998-01-01,61510
1999-01-01,56080
2000-01-01,58270
2001-01-01,60400
2002-01-01,57060
2003-01-01,56160
2004-01-01,52820
2005-01-01,52900
2006-01-01,55310
2007-01-01,53890
2008-01-01,54210
2009-01-01,56440
2010-01-01,53640
2011-01-01,50440
2012-01-01,51020
2013-01-01,55060
2014-01-01,51750
2015-01-01,51310
2016-01-01,54440
2017-01-01,58570
2018-01-01,63060
2019-01-01,63400
2020-01-01,63980
2021-01-01,59980
2022-01-01,55880
