DATE,MEHOINUSMDA672N
1984-01-01,75260
1985-01-01,73830
1986-01-01,73770
1987-01-01,81530
1988-01-01,82180
1989-01-01,77570
1990-01-01,79810
1991-01-01,73230
1992-01-01,71910
1993-01-01,75330
1994-01-01,72350
1995-01-01,74000
1996-01-01,77280
1997-01-01,80290
1998-01-01,84860
1999-01-01,86780
2000-01-01,87630
2001-01-01,84120
2002-01-01,87550
2003-01-01,79540
2004-01-01,84700
2005-01-01,87230
2006-01-01,89190
2007-01-01,89640
2008-01-01,83940
2009-01-01,84910
2010-01-01,83780
2011-01-01,87170
2012-01-01,89200
2013-01-01,85080
2014-01-01,92130
2015-01-01,89090
2016-01-01,88500
2017-01-01,96800
2018-01-01,99660
2019-01-01,108900
2020-01-01,106900
2021-01-01,105000
2022-01-01,108200
