DATE,MEHOINUSMEA672N
1984-01-01,52310
1985-01-01,50270
1986-01-01,56460
1987-01-01,55020
1988-01-01,59360
1989-01-01,60780
1990-01-01,56410
1991-01-01,55230
1992-01-01,57240
1993-01-01,51750
1994-01-01,55960
1995-01-01,61050
1996-01-01,60950
1997-01-01,56360
1998-01-01,60470
1999-01-01,64600
2000-01-01,59880
2001-01-01,57530
2002-01-01,57200
2003-01-01,56430
2004-01-01,61300
2005-01-01,63320
2006-01-01,63940
2007-01-01,65420
2008-01-01,62220
2009-01-01,62840
2010-01-01,62550
2011-01-01,62890
2012-01-01,61040
2013-01-01,67420
2014-01-01,62550
2015-01-01,61440
2016-01-01,61020
2017-01-01,62870
2018-01-01,67810
2019-01-01,75800
2020-01-01,71800
2021-01-01,76710
2022-01-01,75160
