DATE,MEHOINUSMSA672N
1984-01-01,39090
1985-01-01,40210
1986-01-01,39800
1987-01-01,43160
1988-01-01,40840
1989-01-01,42900
1990-01-01,41440
1991-01-01,38600
1992-01-01,39760
1993-01-01,41850
1994-01-01,46880
1995-01-01,47850
1996-01-01,46860
1997-01-01,49010
1998-01-01,49410
1999-01-01,53990
2000-01-01,55110
2001-01-01,47400
2002-01-01,47930
2003-01-01,49760
2004-01-01,51550
2005-01-01,47390
2006-01-01,48660
2007-01-01,50920
2008-01-01,48020
2009-01-01,46400
2010-01-01,49800
2011-01-01,52010
2012-01-01,45500
2013-01-01,39670
2014-01-01,42970
2015-01-01,48460
2016-01-01,49310
2017-01-01,51030
2018-01-01,49450
2019-01-01,51010
2020-01-01,50880
2021-01-01,50290
2022-01-01,48610
