DATE,MEHOINUSNCA672N
1984-01-01,52110
1985-01-01,52550
1986-01-01,52690
1987-01-01,53060
1988-01-01,54890
1989-01-01,56870
1990-01-01,54080
1991-01-01,53220
1992-01-01,53680
1993-01-01,54360
1994-01-01,55580
1995-01-01,57660
1996-01-01,62540
1997-01-01,61640
1998-01-01,60810
1999-01-01,61930
2000-01-01,61570
2001-01-01,59970
2002-01-01,56670
2003-01-01,56680
2004-01-01,59680
2005-01-01,60620
2006-01-01,55750
2007-01-01,59430
2008-01-01,56560
2009-01-01,55440
2010-01-01,57200
2011-01-01,57210
2012-01-01,51600
2013-01-01,56850
2014-01-01,56590
2015-01-01,61490
2016-01-01,64510
2017-01-01,58420
2018-01-01,61690
2019-01-01,69660
2020-01-01,68120
2021-01-01,67820
2022-01-01,65070
