DATE,MEHOINUSNDA672N
1984-01-01,52620
1985-01-01,51950
1986-01-01,51840
1987-01-01,52640
1988-01-01,54170
1989-01-01,54340
1990-01-01,51890
1991-01-01,51310
1992-01-01,52110
1993-01-01,53030
1994-01-01,52190
1995-01-01,52450
1996-01-01,55280
1997-01-01,54450
1998-01-01,51420
1999-01-01,54300
2000-01-01,57840
2001-01-01,56250
2002-01-01,56190
2003-01-01,61440
2004-01-01,58170
2005-01-01,60820
2006-01-01,57500
2007-01-01,64470
2008-01-01,65390
2009-01-01,66240
2010-01-01,66560
2011-01-01,71330
2012-01-01,69240
2013-01-01,72570
2014-01-01,73460
2015-01-01,69500
2016-01-01,72210
2017-01-01,70950
2018-01-01,76870
2019-01-01,79760
2020-01-01,72270
2021-01-01,74280
2022-01-01,78720
