DATE,MEHOINUSNEA672N
1984-01-01,54200
1985-01-01,53410
1986-01-01,52480
1987-01-01,54250
1988-01-01,56570
1989-01-01,56680
1990-01-01,56450
1991-01-01,58560
1992-01-01,58080
1993-01-01,58480
1994-01-01,58680
1995-01-01,59370
1996-01-01,59750
1997-01-01,59660
1998-01-01,61780
1999-01-01,64210
2000-01-01,67090
2001-01-01,68530
2002-01-01,66420
2003-01-01,66860
2004-01-01,64950
2005-01-01,69080
2006-01-01,67440
2007-01-01,67160
2008-01-01,66840
2009-01-01,65610
2010-01-01,68510
2011-01-01,70390
2012-01-01,64810
2013-01-01,70690
2014-01-01,68790
2015-01-01,73200
2016-01-01,71240
2017-01-01,70260
2018-01-01,78110
2019-01-01,83230
2020-01-01,81440
2021-01-01,84220
2022-01-01,78360
