DATE,MEHOINUSNVA672N
1984-01-01,65300
1985-01-01,57020
1986-01-01,63190
1987-01-01,62660
1988-01-01,62910
1989-01-01,63190
1990-01-01,65770
1991-01-01,65280
1992-01-01,61670
1993-01-01,67550
1994-01-01,66210
1995-01-01,65060
1996-01-01,67700
1997-01-01,66820
1998-01-01,67450
1999-01-01,68920
2000-01-01,73530
2001-01-01,71350
2002-01-01,69780
2003-01-01,68700
2004-01-01,70020
2005-01-01,69490
2006-01-01,73240
2007-01-01,73830
2008-01-01,72130
2009-01-01,68040
2010-01-01,66810
2011-01-01,59540
2012-01-01,58770
2013-01-01,63600
2014-01-01,60330
2015-01-01,62960
2016-01-01,66510
2017-01-01,68440
2018-01-01,71510
2019-01-01,80760
2020-01-01,68950
2021-01-01,69380
2022-01-01,72330
