DATE,MEHOINUSNYA672N
1984-01-01,55800
1985-01-01,57910
1986-01-01,60320
1987-01-01,61510
1988-01-01,65010
1989-01-01,67830
1990-01-01,64880
1991-01-01,63010
1992-01-01,60020
1993-01-01,59780
1994-01-01,58880
1995-01-01,59550
1996-01-01,62210
1997-01-01,61570
1998-01-01,63450
1999-01-01,66470
2000-01-01,65470
2001-01-01,66180
2002-01-01,65140
2003-01-01,65060
2004-01-01,66230
2005-01-01,68010
2006-01-01,67550
2007-01-01,66850
2008-01-01,66480
2009-01-01,66430
2010-01-01,64960
2011-01-01,64090
2012-01-01,59200
2013-01-01,61300
2014-01-01,65690
2015-01-01,70210
2016-01-01,73720
2017-01-01,72570
2018-01-01,77760
2019-01-01,81840
2020-01-01,77400
2021-01-01,78630
2022-01-01,75910
