DATE,MEHOINUSOKA672N
1984-01-01,53570
1985-01-01,51950
1986-01-01,50490
1987-01-01,50570
1988-01-01,53210
1989-01-01,50970
1990-01-01,50080
1991-01-01,50460
1992-01-01,48870
1993-01-01,49530
1994-01-01,49820
1995-01-01,47440
1996-01-01,48200
1997-01-01,53920
1998-01-01,57220
1999-01-01,54330
2000-01-01,52110
2001-01-01,55960
2002-01-01,56590
2003-01-01,54590
2004-01-01,58760
2005-01-01,54270
2006-01-01,54410
2007-01-01,59030
2008-01-01,60750
2009-01-01,60690
2010-01-01,56250
2011-01-01,61330
2012-01-01,60110
2013-01-01,56630
2014-01-01,57090
2015-01-01,56990
2016-01-01,61120
2017-01-01,61180
2018-01-01,62920
2019-01-01,67650
2020-01-01,59150
2021-01-01,64800
2022-01-01,63440
