DATE,MEHOINUSRIA672N
1984-01-01,54750
1985-01-01,60330
1986-01-01,63970
1987-01-01,65960
1988-01-01,67090
1989-01-01,64880
1990-01-01,65660
1991-01-01,61110
1992-01-01,58820
1993-01-01,63200
1994-01-01,58930
1995-01-01,63760
1996-01-01,64970
1997-01-01,59850
1998-01-01,69030
1999-01-01,71010
2000-01-01,67810
2001-01-01,71850
2002-01-01,65840
2003-01-01,67980
2004-01-01,71100
2005-01-01,71330
2006-01-01,75280
2007-01-01,74040
2008-01-01,70150
2009-01-01,68300
2010-01-01,67370
2011-01-01,62060
2012-01-01,69610
2013-01-01,69100
2014-01-01,70920
2015-01-01,67430
2016-01-01,73830
2017-01-01,77120
2018-01-01,71970
2019-01-01,79900
2020-01-01,90380
2021-01-01,80850
2022-01-01,80650
