DATE,MEHOINUSSCA672N
1984-01-01,51450
1985-01-01,49090
1986-01-01,52950
1987-01-01,58400
1988-01-01,57410
1989-01-01,51260
1990-01-01,59020
1991-01-01,54430
1992-01-01,53300
1993-01-01,49140
1994-01-01,55090
1995-01-01,52420
1996-01-01,60900
1997-01-01,58930
1998-01-01,56440
1999-01-01,60610
2000-01-01,60370
2001-01-01,59300
2002-01-01,58690
2003-01-01,58500
2004-01-01,57390
2005-01-01,57990
2006-01-01,55500
2007-01-01,60390
2008-01-01,55540
2009-01-01,54370
2010-01-01,54410
2011-01-01,50730
2012-01-01,55130
2013-01-01,53440
2014-01-01,54350
2015-01-01,56120
2016-01-01,65200
2017-01-01,64310
2018-01-01,66400
2019-01-01,70650
2020-01-01,68020
2021-01-01,67440
2022-01-01,61770
