DATE,MEHOINUSTXA672N
1984-01-01,58330
1985-01-01,58170
1986-01-01,58240
1987-01-01,57640
1988-01-01,56120
1989-01-01,55750
1990-01-01,57980
1991-01-01,54960
1992-01-01,54030
1993-01-01,54180
1994-01-01,56770
1995-01-01,57770
1996-01-01,58100
1997-01-01,60320
1998-01-01,60710
1999-01-01,64310
2000-01-01,62040
2001-01-01,64210
2002-01-01,62320
2003-01-01,59710
2004-01-01,61400
2005-01-01,59710
2006-01-01,60670
2007-01-01,62900
2008-01-01,61250
2009-01-01,62800
2010-01-01,61680
2011-01-01,62080
2012-01-01,64480
2013-01-01,63070
2014-01-01,65170
2015-01-01,68360
2016-01-01,69770
2017-01-01,70860
2018-01-01,69100
2019-01-01,76820
2020-01-01,77110
2021-01-01,72680
2022-01-01,74640
