DATE,MEHOINUSUTA672N
1984-01-01,58410
1985-01-01,61830
1986-01-01,63350
1987-01-01,61850
1988-01-01,59160
1989-01-01,66160
1990-01-01,61910
1991-01-01,55520
1992-01-01,66200
1993-01-01,67500
1994-01-01,65920
1995-01-01,65780
1996-01-01,65070
1997-01-01,73570
1998-01-01,75160
1999-01-01,76550
2000-01-01,76410
2001-01-01,74400
2002-01-01,74280
2003-01-01,74920
2004-01-01,75460
2005-01-01,79010
2006-01-01,76530
2007-01-01,73110
2008-01-01,82390
2009-01-01,77370
2010-01-01,73990
2011-01-01,70230
2012-01-01,72440
2013-01-01,74890
2014-01-01,76670
2015-01-01,80200
2016-01-01,80970
2017-01-01,82290
2018-01-01,89080
2019-01-01,96270
2020-01-01,94680
2021-01-01,94510
2022-01-01,95800
