DATE,MEHOINUSVTA672N
1984-01-01,57200
1985-01-01,63700
1986-01-01,59290
1987-01-01,59250
1988-01-01,65170
1989-01-01,67400
1990-01-01,63870
1991-01-01,57780
1992-01-01,63310
1993-01-01,58590
1994-01-01,66080
1995-01-01,60990
1996-01-01,56840
1997-01-01,60290
1998-01-01,66800
1999-01-01,69120
2000-01-01,63620
2001-01-01,64110
2002-01-01,66740
2003-01-01,65770
2004-01-01,70200
2005-01-01,73090
2006-01-01,72820
2007-01-01,64730
2008-01-01,66810
2009-01-01,69210
2010-01-01,72980
2011-01-01,65640
2012-01-01,69010
2013-01-01,80370
2014-01-01,73430
2015-01-01,72020
2016-01-01,73000
2017-01-01,75090
2018-01-01,80990
2019-01-01,84630
2020-01-01,75810
2021-01-01,82040
2022-01-01,72190
