DATE,MEHOINUSWVA672N
1984-01-01,42670
1985-01-01,39160
1986-01-01,39680
1987-01-01,40120
1988-01-01,43510
1989-01-01,46690
1990-01-01,45470
1991-01-01,45870
1992-01-01,39180
1993-01-01,42290
1994-01-01,43490
1995-01-01,44860
1996-01-01,44350
1997-01-01,47280
1998-01-01,45310
1999-01-01,48700
2000-01-01,47260
2001-01-01,46630
2002-01-01,45570
2003-01-01,49810
2004-01-01,49500
2005-01-01,52540
2006-01-01,53820
2007-01-01,57490
2008-01-01,50060
2009-01-01,53560
2010-01-01,55820
2011-01-01,52930
2012-01-01,54080
2013-01-01,52840
2014-01-01,47840
2015-01-01,51840
2016-01-01,53220
2017-01-01,55370
2018-01-01,58460
2019-01-01,61170
2020-01-01,58580
2021-01-01,50500
2022-01-01,52460
