DATE,MEHOINUSWYA672N
1984-01-01,60330
1985-01-01,54100
1986-01-01,56780
1987-01-01,64320
1988-01-01,59400
1989-01-01,63580
1990-01-01,60510
1991-01-01,57570
1992-01-01,58390
1993-01-01,55530
1994-01-01,61170
1995-01-01,56850
1996-01-01,54380
1997-01-01,57480
1998-01-01,59810
1999-01-01,61920
2000-01-01,63680
2001-01-01,62420
2002-01-01,61720
2003-01-01,64700
2004-01-01,67340
2005-01-01,64460
2006-01-01,65900
2007-01-01,66580
2008-01-01,70270
2009-01-01,69410
2010-01-01,68120
2011-01-01,68990
2012-01-01,71410
2013-01-01,82740
2014-01-01,67360
2015-01-01,73750
2016-01-01,69390
2017-01-01,70200
2018-01-01,72290
2019-01-01,74190
2020-01-01,73780
2021-01-01,76620
2022-01-01,73090
