date,income,state
1/1/1984,81970,AK
1/1/1985,85210,AK
1/1/1986,75580,AK
1/1/1987,77480,AK
1/1/1988,74430,AK
1/1/1989,77550,AK
1/1/1990,80710,AK
1/1/1991,80490,AK
1/1/1992,80790,AK
1/1/1993,80970,AK
1/1/1994,83740,AK
1/1/1995,86470,AK
1/1/1996,92720,AK
1/1/1997,82540,AK
1/1/1998,86010,AK
1/1/1999,85430,AK
1/1/2000,84920,AK
1/1/2001,90140,AK
1/1/2002,81910,AK
1/1/2003,78810,AK
1/1/2004,81670,AK
1/1/2005,80570,AK
1/1/2006,79030,AK
1/1/2007,86040,AK
1/1/2008,84310,AK
1/1/2009,81490,AK
1/1/2010,75490,AK
1/1/2011,72690,AK
1/1/2012,79030,AK
1/1/2013,88910,AK
1/1/2014,81800,AK
1/1/2015,90920,AK
1/1/2016,90860,AK
1/1/2017,91960,AK
1/1/2018,79450,AK
1/1/2019,89290,AK
1/1/2020,84260,AK
1/1/2021,87490,AK
1/1/2022,89740,AK
1/1/1984,43850,AL
1/1/1985,44910,AL
1/1/1986,46110,AL
1/1/1987,46010,AL
1/1/1988,44850,AL
1/1/1989,45840,AL
1/1/1990,47970,AL
1/1/1991,48250,AL
1/1/1992,49880,AL
1/1/1993,47310,AL
1/1/1994,50200,AL
1/1/1995,46860,AL
1/1/1996,53230,AL
1/1/1997,54930,AL
1/1/1998,61530,AL
1/1/1999,60260,AL
1/1/2000,56920,AL
1/1/2001,55250,AL
1/1/2002,58360,AL
1/1/2003,56640,AL
1/1/2004,54330,AL
1/1/2005,53550,AL
1/1/2006,53170,AL
1/1/2007,57660,AL
1/1/2008,58600,AL
1/1/2009,52890,AL
1/1/2010,53420,AL
1/1/2011,53900,AL
1/1/2012,53970,AL
1/1/2013,58050,AL
1/1/2014,51140,AL
1/1/2015,53880,AL
1/1/2016,56660,AL
1/1/2017,59980,AL
1/1/2018,57720,AL
1/1/2019,64010,AL
1/1/2020,61650,AL
1/1/2021,61390,AL
1/1/2022,59910,AL
1/1/1984,39710,AR
1/1/1985,42750,AR
1/1/1986,45150,AR
1/1/1987,43890,AR
